{8}aerfaxishu 阿尔法系数
{5}baobenduichongjijin 保本对冲基金
{108}beidongshiguanli 被动式管理
{66}beitaxishu 贝他系数
{75}bisuqiquandingjiamoshi 毕苏期权定价模式
{9}biaoxianfei 表现费
{76}biaozhuncha 标准差
{20}binlinpochande 濒临破产的
{13}bofu 波幅
{56}chang 长
{54}changcang 长仓
{16}chengshoufengxiannengli 承受风险能力
{52}chihuo 持货
{105}chuaicezuijiashiji 揣测最佳时机
{91}chuantongjijin 传统基金
{88}danwei 单位
{87}danweixintuojijin 单位信托基金
{89}danyiduichongjijin 单一对冲基金
{34}diqujijin 地区基金
{102}dieshicha 跌势差
{18}dingxigongjutaodeng 定息工具套戥
{17}dingxijijin 定息基金
{103}duancang 短仓
{55}duancangchigu 短仓持股
{84}duichong 对冲
{83}duichongjijin 对冲基金
{82}duichongjijindejijin 对冲基金的基金
{81}duichongjijinzhiyin 对冲基金指引
{7}feirenkejijin 非认可基金
{44}fensantouzi 分散投资
{4}fengbishijijin 封闭式基金
{26}ganggan 杠杆
{25}gangganjiedaibilv 杠杆借贷比率
{113}gaoshouyi 高收益
{45}gongjijinjihua 公积金计划
{22}gongkuan 供款
{12}gufen 股份
{14}gukong 沽空
{10}gupiaojijin 股票基金
{11}guxifenpai 股息分派
{100}guyuangongkuan 雇员供款
{101}guzhugongkuan 雇主供款
{96}guanlifei 管理费
{53}haocang 好仓
{35}hebingtaodeng 合并套戥
{46}huhuijijin 互惠基金
{74}huanqiuhongguan 环球宏观
{73}huanqiujijin 环球基金
{112}jijingonghui 基金公会
{111}jijinjingli 基金经理
{110}jijinxiaoshouwenjian 基金销售文件
{109}jizhun 基准
{85}jianglifei 奖励费
{2}jiedinggongkuanjihua 界定供款计划
{3}jiedingliyijihua 界定利益计划
{58}jinquxingdetouziguanli 进取型的投资管理
{57}jinquxingzengzhangjijin 进取型增长基金
{72}jueduihuibao 绝对回报
{30}junhengjijin 均衡基金
{80}kaifangshijijin 开放式基金
{42}kehuangu 可换股
{107}lianjijin 离岸基金
{39}lingleitouzi 另类投资
{86}maichujia 卖出价
{92}maimaichajia 买卖差价
{59}mairufei 买入费
{93}mairujia 买入价
{23}meinianhuibao 每年回报
{24}meiriguzhi 每日估值
{37}pingjunchengbenxiaoyi 平均成本效益
{104}qihuoguanlixingjijin 期货管理型基金
{78}qiangjijin 强积金
{79}qiangzhixinggongkuan 强制性供款
{68}rengouqiquan 认购期权
{70}renguqiquan 认沽期权
{69}renguquanzhengjijin 认股权证基金
{71}renkejijin 认可基金
{33}rujihuaweisanzijijin 如计划为伞子基金
{49}ruxijijin 入息基金
{38}shichangzhongli 市场中立
{65535}shoucirengoufei 首次认购费
{21}shouya 受压
{63}shuhui 赎回
{61}shuhuifei 赎回费
{62}shuhuitongzhiqi 赎回通知期
{115}taodeng 套戥
{27}touziguwen 投资顾问
{29}touzinianqi 投资年期
{28}touzizuhe 投资组合
{1}xiangguanxishu 相关系数
{114}xiaolvqianyuan 效率前缘
{99}xingaojia 新高价
{6}xintuoren 信托人
{98}xinxingshichang 新兴市场
{97}xinxingshichangjijin 新兴市场基金
{94}yangepinggu 严格评估
{47}yitiaozhengfengxianhuibao 已调整风险回报
{32}youxianzeren 有限责任
{51}yushehuibaolv 预设回报率
{36}zaitouzi 再投资
{95}zengzhangheshourujijin 增长和收入基金
{41}zhaiquan 债券
{90}zhaiquanjijin 债券基金
{19}zhengquan 证券
{67}zhengquanjiechu 证券借出
{0}zhongdashijianzhudaodetouzi 重大事件主导的投资
{15}zhucedi 注册地
{50}zhudongshiguanli 主动式管理
{43}zhuyaojingji 主要经纪
{65}zichanfenpei 资产分配
{64}zichanjingzhi 资产净值
{48}zijijin 子基金
{31}ziyuanxinggongkuan 自愿性供款
{77}zonghuibao 总回报
{106}zuidadiefu 最大跌幅
